"Abrangência";"Partido";"Sexo";"Faixa Etária";"Eleitores";"%";
"Brasil";"PDT";"FEMININO";"35 a 44 anos";"87.763";"0,522"
"Brasil";"PDT";"FEMININO";"45 a 59 anos";"197.776";"1,177"
"Brasil";"PDT";"FEMININO";"60 a 69 anos";"111.568";"0,664"
"Brasil";"PDT";"FEMININO";"70 a 79 anos";"60.393";"0,359"
"Brasil";"PDT";"FEMININO";"Inválida";"6";"0,000"
"Brasil";"PDT";"FEMININO";"Superior a 79 anos";"40.368";"0,240"
"Brasil";"PDT";"MASCULINO";"16 anos";"2";"0,000"
"Brasil";"PDT";"MASCULINO";"17 anos";"42";"0,000"
"Brasil";"PDT";"MASCULINO";"18 a 20 anos";"1.412";"0,008"
"Brasil";"PDT";"MASCULINO";"21 a 24 anos";"6.935";"0,041"
"Brasil";"PDT";"MASCULINO";"25 a 34 anos";"60.183";"0,358"
"Brasil";"PDT";"MASCULINO";"35 a 44 anos";"109.076";"0,649"
"Brasil";"PDT";"MASCULINO";"45 a 59 anos";"250.954";"1,494"
"Brasil";"PDT";"MASCULINO";"60 a 69 anos";"142.559";"0,849"
"Brasil";"PDT";"MASCULINO";"70 a 79 anos";"74.986";"0,446"
"Brasil";"PDT";"MASCULINO";"Inválida";"11";"0,000"
"Brasil";"PDT";"MASCULINO";"Superior a 79 anos";"50.392";"0,300"
"Brasil";"PDT";"NÃO INFORMADO";"35 a 44 anos";"5";"0,000"
"Brasil";"PDT";"NÃO INFORMADO";"45 a 59 anos";"400";"0,002"
"Brasil";"PDT";"NÃO INFORMADO";"60 a 69 anos";"385";"0,002"
"Brasil";"PDT";"NÃO INFORMADO";"70 a 79 anos";"276";"0,002"
"Brasil";"PDT";"NÃO INFORMADO";"Superior a 79 anos";"305";"0,002"
"Brasil";"PDT";"Não informado (nulo)";"Não informada";"1.832";"0,011"
"Brasil";"PHS";"FEMININO";"17 anos";"12";"0,000"
"Brasil";"PHS";"FEMININO";"18 a 20 anos";"901";"0,005"
"Brasil";"PHS";"FEMININO";"21 a 24 anos";"3.892";"0,023"
"Brasil";"PHS";"FEMININO";"25 a 34 anos";"18.124";"0,108"
"Brasil";"PHS";"FEMININO";"35 a 44 anos";"25.286";"0,151"
"Brasil";"PHS";"FEMININO";"45 a 59 anos";"28.998";"0,173"
"Brasil";"PHS";"FEMININO";"60 a 69 anos";"11.024";"0,066"
"Brasil";"PHS";"FEMININO";"70 a 79 anos";"4.721";"0,028"
"Brasil";"PHS";"FEMININO";"Inválida";"2";"0,000"
"Brasil";"PHS";"FEMININO";"Superior a 79 anos";"1.852";"0,011"
"Brasil";"PHS";"MASCULINO";"16 anos";"1";"0,000"
"Brasil";"PHS";"MASCULINO";"17 anos";"16";"0,000"
"Brasil";"PHS";"MASCULINO";"18 a 20 anos";"951";"0,006"
"Brasil";"PHS";"MASCULINO";"21 a 24 anos";"4.431";"0,026"
"Brasil";"PHS";"MASCULINO";"25 a 34 anos";"21.347";"0,127"
"Brasil";"PHS";"MASCULINO";"35 a 44 anos";"31.846";"0,190"
"Brasil";"PHS";"MASCULINO";"45 a 59 anos";"38.735";"0,231"
"Brasil";"PHS";"MASCULINO";"60 a 69 anos";"14.470";"0,086"
"Brasil";"PHS";"MASCULINO";"70 a 79 anos";"5.889";"0,035"
"Brasil";"PHS";"MASCULINO";"Inválida";"1";"0,000"
"Brasil";"PHS";"MASCULINO";"Superior a 79 anos";"2.240";"0,013"
"Brasil";"PHS";"NÃO INFORMADO";"45 a 59 anos";"44";"0,000"
"Brasil";"PHS";"NÃO INFORMADO";"60 a 69 anos";"28";"0,000"
"Brasil";"PHS";"NÃO INFORMADO";"70 a 79 anos";"23";"0,000"
"Brasil";"PHS";"NÃO INFORMADO";"Superior a 79 anos";"9";"0,000"
"Brasil";"PHS";"Não informado (nulo)";"Não informada";"330";"0,002"
"Brasil";"PMB";"FEMININO";"16 anos";"1";"0,000"
"Brasil";"PMB";"FEMININO";"17 anos";"17";"0,000"
"Brasil";"PMB";"FEMININO";"18 a 20 anos";"781";"0,005"
"Brasil";"PMB";"FEMININO";"21 a 24 anos";"2.042";"0,012"
"Brasil";"PMB";"FEMININO";"25 a 34 anos";"5.690";"0,034"
"Brasil";"PMB";"FEMININO";"35 a 44 anos";"6.010";"0,036"
"Brasil";"PMB";"FEMININO";"45 a 59 anos";"6.485";"0,039"
"Brasil";"PMB";"FEMININO";"60 a 69 anos";"1.844";"0,011"
"Brasil";"PMB";"FEMININO";"70 a 79 anos";"511";"0,003"
"Brasil";"PMB";"FEMININO";"Superior a 79 anos";"94";"0,001"
"Brasil";"PMB";"MASCULINO";"16 anos";"1";"0,000"
"Brasil";"PMB";"MASCULINO";"17 anos";"5";"0,000"
"Brasil";"PMB";"MASCULINO";"18 a 20 anos";"572";"0,003"
"Brasil";"PMB";"MASCULINO";"21 a 24 anos";"1.659";"0,010"
"Brasil";"PMB";"MASCULINO";"25 a 34 anos";"4.378";"0,026"
